,title,price,link,location
97,Fully Furnished 2BHK FLAT FOR RENT IN SHASTRI NAGAR DELHI KAROL BAGH,"₹ 18,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1772456538,"Shastri Nagar, Delhi"
98,1BHK 2BHK 3BHK  FLAT FOR RENT IN SHASTRI NAGAR KAROL BAGH NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1723877958,"Shastri Nagar, Delhi"
99,"Newly Built 2Bhk & 1Bhk Flat For Rent In Shastri Nagar, Shakti Nagar","₹ 16,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-500-sq-ft-in-shastri-nagar-delhi-iid-1744384791,"Shastri Nagar, Delhi"
100,AFFORDABLE 1BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR METRO STATION,"₹ 10,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831922,"Shastri Nagar, Delhi"
101,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
102,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
103,"Newly Built 2Bhk & 1Bhk Flat For Rent In Shastri Nagar, Shakti Nagar","₹ 16,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-500-sq-ft-in-shastri-nagar-delhi-iid-1744384791,"Shastri Nagar, Delhi"
104,1BHK 2BHK 3BHK  FLAT FOR RENT IN SHASTRI NAGAR KAROL BAGH NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1723877958,"Shastri Nagar, Delhi"
105,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
106,NEW 2BHK 1BHK FLAT AVAILABLE FOR RENT IN SHASTRI NAGAR NORTH CAMPUS,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1726570757,"Shastri Nagar, Delhi"
